board_state,move
"[ 4  2  3  5  6  3  2  4  1  1  1  1  1  1  1  1  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
 -1 -1 -1 -1 -1 -1 -1 -1 -4 -2 -3 -5 -6 -3 -2 -4]",b1a3
"[ 4  0  3  5  6  3  2  4  1  1  1  1  1  1  1  1  2  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
 -1 -1 -1 -1 -1 -1 -1 -1 -4 -2 -3 -5 -6 -3 -2 -4]",f7f5
"[ 4  0  3  5  6  3  2  4  1  1  1  1  1  1  1  1  2  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0 -1  0  0  0  0  0  0  0  0  0  0
 -1 -1 -1 -1 -1  0 -1 -1 -4 -2 -3 -5 -6 -3 -2 -4]",c2c4
"[ 4  0  3  5  6  3  2  4  1  1  0  1  1  1  1  1  2  0  0  0  0  0  0  0
  0  0  1  0  0  0  0  0  0  0  0  0  0 -1  0  0  0  0  0  0  0  0  0  0
 -1 -1 -1 -1 -1  0 -1 -1 -4 -2 -3 -5 -6 -3 -2 -4]",f5f4
"[ 4  0  3  5  6  3  2  4  1  1  0  1  1  1  1  1  2  0  0  0  0  0  0  0
  0  0  1  0  0 -1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
 -1 -1 -1 -1 -1  0 -1 -1 -4 -2 -3 -5 -6 -3 -2 -4]",c4c5
"[ 4  0  3  5  6  3  2  4  1  1  0  1  1  1  1  1  2  0  0  0  0  0  0  0
  0  0  0  0  0 -1  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0
 -1 -1 -1 -1 -1  0 -1 -1 -4 -2 -3 -5 -6 -3 -2 -4]",e7e5
"[ 4  0  3  5  6  3  2  4  1  1  0  1  1  1  1  1  2  0  0  0  0  0  0  0
  0  0  0  0  0 -1  0  0  0  0  1  0 -1  0  0  0  0  0  0  0  0  0  0  0
 -1 -1 -1 -1  0  0 -1 -1 -4 -2 -3 -5 -6 -3 -2 -4]",d1c2
"[ 4  0  3  0  6  3  2  4  1  1  5  1  1  1  1  1  2  0  0  0  0  0  0  0
  0  0  0  0  0 -1  0  0  0  0  1  0 -1  0  0  0  0  0  0  0  0  0  0  0
 -1 -1 -1 -1  0  0 -1 -1 -4 -2 -3 -5 -6 -3 -2 -4]",c7c6
"[ 4  0  3  0  6  3  2  4  1  1  5  1  1  1  1  1  2  0  0  0  0  0  0  0
  0  0  0  0  0 -1  0  0  0  0  1  0 -1  0  0  0  0  0 -1  0  0  0  0  0
 -1 -1  0 -1  0  0 -1 -1 -4 -2 -3 -5 -6 -3 -2 -4]",e2e3
"[ 4  0  3  0  6  3  2  4  1  1  5  1  0  1  1  1  2  0  0  0  1  0  0  0
  0  0  0  0  0 -1  0  0  0  0  1  0 -1  0  0  0  0  0 -1  0  0  0  0  0
 -1 -1  0 -1  0  0 -1 -1 -4 -2 -3 -5 -6 -3 -2 -4]",d8e7
